taxonomy_id,level_1_domain,level_2_family,level_3_category,level_4_product_type,level_5_subtype,construction,body_zone_or_use,primary_material_family,default_material_ids,default_route_ids,default_template_ids,default_gsm_range,default_weight_g_range,complexity_class,expected_user_input_signals,keywords,kg_coverage,confidence_prior,notes
TAX-APP-KNT-TSH-001,Apparel,Tops,Knit Tops,T-Shirt,Crew Neck Short Sleeve,Circular knit,Upper body,Cellulosic knit,MAT001|MAT002|MAT003,ROUTE-APP-KNT-COTTON-001,TPL-APP-KNT-TSH-001,160-200,180-240,Low,"BOM: cotton jersey; Tech pack: crew neck; Description: basic tee","t-shirt|tee|crew neck|single jersey|cotton jersey",High,0.92,"Strong KG support through cotton farming, ginning, spinning, knitting, wet processing, cutting, sewing, packaging."
TAX-APP-KNT-TSH-002,Apparel,Tops,Knit Tops,T-Shirt,Synthetic Performance Tee,Circular knit,Upper body,Synthetic knit,MAT004|MAT005|MAT006,ROUTE-APP-KNT-SYNTH-001,TPL-APP-KNT-TSH-002,130-180,130-210,Low,"BOM: polyester/elastane; Description: active/performance/dry-fit","performance tee|polyester tee|dry fit|elastane jersey",Medium,0.78,"Uses KG knitting/cut-sew steps; upstream synthetic fiber and disperse dyeing are V1 inferred defaults."
TAX-APP-KNT-POL-001,Apparel,Tops,Knit Tops,Polo Shirt,Pique Polo,Circular knit,Upper body,Cellulosic or synthetic knit,MAT001|MAT004|MAT005,ROUTE-APP-KNT-COTTON-001|ROUTE-APP-KNT-SYNTH-001,TPL-APP-KNT-POL-001,200-240,280-360,Medium,"Tech pack: collar, placket, buttons; BOM: pique fabric","polo|pique|collar|placket",High,0.86,"Route follows knit top base with extra collar/placket sewing complexity."
TAX-APP-KNT-SWT-001,Apparel,Tops,Knit Fleece,Sweatshirt,Crew Sweatshirt,Circular knit fleece,Upper body,Cellulosic knit fleece,MAT001|MAT004|MAT005,ROUTE-APP-KNT-COTTON-001|ROUTE-APP-KNT-SYNTH-001,TPL-APP-KNT-SWT-001,260-340,420-620,Medium,"Description: sweatshirt/fleece; GSM above 260","sweatshirt|fleece|brushed back|crew",Medium,0.8,"Adds fleece finishing assumptions not yet explicit in KG."
TAX-APP-KNT-HOD-001,Apparel,Tops,Knit Fleece,Hoodie,Pullover Hoodie,Circular knit fleece,Upper body,Cellulosic knit fleece,MAT001|MAT004|MAT005,ROUTE-APP-KNT-COTTON-001|ROUTE-APP-KNT-SYNTH-001,TPL-APP-KNT-HOD-001,300-380,600-850,High,"Tech pack: hood, kangaroo pocket, drawcord, rib trim","hoodie|pullover|hood|kangaroo pocket|drawcord",Medium,0.8,"Cut-sew complexity and trims increase versus sweatshirt."
TAX-APP-KNT-LEG-001,Apparel,Bottoms,Knit Bottoms,Leggings,Performance Legging,Circular or warp knit,Lower body,Synthetic stretch knit,MAT004|MAT005|MAT006,ROUTE-APP-KNT-SYNTH-001,TPL-APP-KNT-LEG-001,180-260,180-300,Medium,"BOM: polyester/elastane or nylon/elastane; Description: leggings","legging|tight|compression|spandex|elastane",Medium,0.74,"Requires stretch fabric assumptions and sewing details beyond current KG."
TAX-APP-KNT-SRT-001,Apparel,Bottoms,Knit Bottoms,Athletic Shorts,Performance Short,Circular or woven shell,Lower body,Synthetic knit or woven,MAT004|MAT005|MAT006,ROUTE-APP-KNT-SYNTH-001,TPL-APP-KNT-SRT-001,120-180,140-240,Medium,"Description: running short/gym short; BOM: polyester","athletic short|running short|mesh liner|polyester",Medium,0.72,"Uses synthetic knit route as default; woven shell variant can be added in V2.1."
TAX-APP-WVN-SHT-001,Apparel,Tops,Woven Tops,Shirt,Button-Down Shirt,Woven,Upper body,Cellulosic woven,MAT001|MAT007|MAT009,ROUTE-APP-WVN-CELL-001,TPL-APP-WVN-SHT-001,110-160,220-340,Medium,"Tech pack: woven fabric, collar, cuffs, placket","shirt|button down|poplin|collar|cuff",Low,0.68,"Woven route extends KG with warping, weaving, and shirt assembly assumptions."
TAX-APP-WVN-DEN-001,Apparel,Bottoms,Woven Bottoms,Jeans,Five-Pocket Denim,Woven denim,Lower body,Cellulosic woven,MAT001|MAT003|MAT006,ROUTE-APP-WVN-DENIM-001,TPL-APP-WVN-DEN-001,320-460,500-850,High,"Description: denim/jeans; Tech pack: rivets, fly, waistband","jeans|denim|five pocket|rivet|indigo",Low,0.66,"Denim dyeing, washing, rivets, and abrasion are V1 inferred defaults."
TAX-APP-WVN-CHN-001,Apparel,Bottoms,Woven Bottoms,Chino,Twill Pant,Woven twill,Lower body,Cellulosic woven,MAT001|MAT007|MAT006,ROUTE-APP-WVN-CELL-001,TPL-APP-WVN-CHN-001,220-300,430-680,High,"Description: chino/trouser; Tech pack: waistband, fly, pockets","chino|trouser|twill|pant",Low,0.64,"Uses generic woven cellulosic route with trouser assembly defaults."
