machine_model_id,manufacturer,model,machine_category,process,capacity,energy_source,throughput,brochure_url,datasheet_url,version,effective_date,expiry_date,source,approval_status,confidence
MMOD001,Thies,iMaster H2O,Jet Dyeing Machine,Reactive Dyeing,Variable batch capacity,Electricity + steam,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,Architecture_V2_machine_model_seed,Pending Brochure Review,0.35
MMOD002,Mayer & Cie,Relanit,Circular Knitting Machine,Knitting,Diameter and feeder dependent,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,Architecture_V2_machine_model_seed,Pending Brochure Review,0.35
MMOD003,Rieter,G 38,Ring Frame,Ring Spinning,Spindle-count dependent,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,Architecture_V2_machine_model_seed,Pending Brochure Review,0.35
MMOD004,Juki,DDL-8700,Lockstitch Machine,Sewing,Single needle lockstitch,Electricity,TBD from datasheet,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,Architecture_V2_machine_model_seed,Pending Brochure Review,0.35
MMOD005,Generic,Stenter Range,Stenter Machine,Finishing,Textile finishing line,Electricity + steam,kg fabric per hour TBD,,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,Manufacturing_Knowledge_Graph_V2_proxy,Pending Validation,0.5
MMOD006,Generic,CNC Fabric Cutter,CNC Fabric Cutter,Cutting,Apparel marker dependent,Electricity,kg garment per hour TBD,,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,Manufacturing_Knowledge_Graph_V2_proxy,Pending Validation,0.5
MMODR-001,machine_recommender,Fabric Relaxing Machine,Jet Dyeing Machine,Dyeing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M002); pending real brochure,Pending Validation,0.5
MMODR-002,machine_recommender,Automatic Fabric Spreader,Spreading Machine,Spreading,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M006); pending real brochure,Pending Validation,0.5
MMODR-003,machine_recommender,Manual Spreading Table,Spreading Machine,Spreading,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M007); pending real brochure,Pending Validation,0.5
MMODR-004,machine_recommender,CNC Fabric Cutter,CNC Fabric Cutter,Cutting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M008); pending real brochure,Pending Validation,0.5
MMODR-005,machine_recommender,Straight Knife Cutting Machine,CNC Fabric Cutter,Cutting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M009); pending real brochure,Pending Validation,0.5
MMODR-006,machine_recommender,Band Knife Machine,CNC Fabric Cutter,Cutting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M010); pending real brochure,Pending Validation,0.5
MMODR-007,machine_recommender,Die Cutting Machine,CNC Fabric Cutter,Cutting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M011); pending real brochure,Pending Validation,0.5
MMODR-008,machine_recommender,Laser Cutting Machine,CNC Fabric Cutter,Cutting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M012); pending real brochure,Pending Validation,0.5
MMODR-009,machine_recommender,Screen Printing Machine,Printing Machine,Printing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M013); pending real brochure,Pending Validation,0.5
MMODR-010,machine_recommender,DTG Printer,Printing Machine,Printing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M014); pending real brochure,Pending Validation,0.5
MMODR-011,machine_recommender,Heat Transfer Machine,Printing Machine,Printing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M015); pending real brochure,Pending Validation,0.5
MMODR-012,machine_recommender,Sublimation Printer,Printing Machine,Printing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M016); pending real brochure,Pending Validation,0.5
