template_id,taxonomy_id,template_name,domain,product_type,variant,default_size_basis,primary_material_ids,material_blend_default,default_gsm,default_weight_g,component_breakdown,default_route_id,route_type,default_coloration,default_print_or_embellishment,trims_and_accessories,packaging_default,yield_assumptions,default_origin_chain,confidence_prior,source_basis,notes
TPL-APP-KNT-TSH-001,TAX-APP-KNT-TSH-001,Basic Cotton T-Shirt,Apparel,T-Shirt,Crew Neck Short Sleeve,Adult M,MAT001,"Cotton 100%",180,220,"body fabric 92%; rib neck 4%; sewing thread 1%; packaging 3%",ROUTE-APP-KNT-COTTON-001,Knit cotton full route,Reactive piece dye,None,"neck rib; sewing thread; care label; size label","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Cotton farming India > ginning India > spinning Bangladesh > knitting Bangladesh > dyeing Bangladesh > garmenting Bangladesh",0.92,"KG V1 Product_Templates TMP001 plus V2 Product_Weight_Models","Anchor template for inference engine V1."
TPL-APP-KNT-TSH-002,TAX-APP-KNT-TSH-002,Performance Polyester T-Shirt,Apparel,T-Shirt,Synthetic Short Sleeve,Adult M,MAT005|MAT006,"Recycled polyester 92%; elastane 8%",150,170,"body fabric 94%; sewing thread 1%; neck tape 1%; packaging 4%",ROUTE-APP-KNT-SYNTH-001,Synthetic knit route,Disperse piece dye,Optional heat transfer logo,"polyester thread; neck tape; care label","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber China or Global > yarn China > knitting Vietnam/Bangladesh > dyeing Vietnam/Bangladesh > garmenting Vietnam/Bangladesh",0.78,"Derived from KG knit/cut-sew route with synthetic material defaults","Use when user mentions performance, dry-fit, or stretch."
TPL-APP-KNT-POL-001,TAX-APP-KNT-POL-001,Cotton Pique Polo Shirt,Apparel,Polo Shirt,Two Button Placket,Adult M,MAT001,"Cotton 100%",220,320,"pique body fabric 88%; rib collar/cuff 6%; buttons 1%; thread/labels 1%; packaging 4%",ROUTE-APP-KNT-COTTON-001,Knit cotton full route,Reactive piece dye,Optional embroidery,"rib collar; rib cuff; 2 buttons; placket interlining; labels","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Cotton India > yarn Bangladesh > fabric Bangladesh > garment Bangladesh",0.86,"V2 Product_Weight_Models Polo Shirt row plus KG cotton route","Adds placket and collar sewing complexity."
TPL-APP-KNT-SWT-001,TAX-APP-KNT-SWT-001,Crewneck Sweatshirt,Apparel,Sweatshirt,Brushed Fleece,Adult M,MAT001|MAT004,"Cotton 80%; polyester 20%",300,520,"fleece body 86%; rib trims 8%; thread/labels 1%; packaging 5%",ROUTE-APP-KNT-COTTON-001,Knit fleece variant,Reactive or pigment piece dye,None,"rib collar; rib cuff; rib hem; labels","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber India/China > yarn Bangladesh > fleece knitting Bangladesh > dyeing Bangladesh > garmenting Bangladesh",0.8,"Derived from KG knit top route and V2 Hoodie/Sweatshirt weight logic","Fleece brushing should become explicit in process library V2."
TPL-APP-KNT-HOD-001,TAX-APP-KNT-HOD-001,Pullover Hoodie,Apparel,Hoodie,Kangaroo Pocket,Adult M,MAT001|MAT004,"Cotton 80%; polyester 20%",320,650,"fleece body 82%; rib trims 6%; hood lining 5%; drawcord 1%; thread/labels 1%; packaging 5%",ROUTE-APP-KNT-COTTON-001,Knit fleece variant,Reactive or pigment piece dye,Optional chest print,"drawcord; eyelets; rib cuff/hem; labels","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber India/China > yarn Bangladesh > fabric Bangladesh > dyeing Bangladesh > garmenting Bangladesh",0.8,"V2 Product_Weight_Models Hoodie row plus KG cotton route","High sewing complexity due to hood, pocket, and trims."
TPL-APP-KNT-LEG-001,TAX-APP-KNT-LEG-001,Performance Legging,Apparel,Leggings,High Waist,Adult M,MAT005|MAT006,"Recycled polyester 78%; elastane 22%",220,240,"stretch fabric 93%; elastic 3%; thread/labels 1%; packaging 3%",ROUTE-APP-KNT-SYNTH-001,Synthetic stretch knit route,Disperse piece dye,None,"waist elastic; care label; size label","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber China/Global > knitting Vietnam > dyeing Vietnam > garmenting Vietnam",0.74,"Derived from material library and KG cut-sew route","Elastane share is a major uncertainty driver."
TPL-APP-KNT-SRT-001,TAX-APP-KNT-SRT-001,Athletic Training Short,Apparel,Athletic Shorts,Elastic Waist,Adult M,MAT005,"Recycled polyester 100%",140,180,"shell fabric 88%; waistband elastic 4%; drawcord 1%; thread/labels 1%; packaging 6%",ROUTE-APP-KNT-SYNTH-001,Synthetic knit route,Disperse piece dye,Optional logo print,"waist elastic; drawcord; labels","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber Global > fabric Bangladesh/Vietnam > garment Bangladesh/Vietnam",0.72,"Derived template for sportswear defaults","Mesh liner can be added as a component if detected."
TPL-APP-WVN-SHT-001,TAX-APP-WVN-SHT-001,Woven Button-Down Shirt,Apparel,Shirt,Long Sleeve,Adult M,MAT001,"Cotton 100%",130,280,"woven shell 86%; interlining 3%; buttons 1%; thread/labels 1%; packaging 9%",ROUTE-APP-WVN-CELL-001,Woven cellulosic route,Reactive piece dye,None,"collar interlining; cuff interlining; buttons; labels","folded polybag; carton","Weaving 0.96; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Cotton India > spinning Bangladesh > weaving Bangladesh > dyeing Bangladesh > garment Bangladesh",0.68,"V1 inferred woven extension from KG cotton upstream and garmenting steps","Requires weaving process validation."
TPL-APP-WVN-DEN-001,TAX-APP-WVN-DEN-001,Five-Pocket Denim Jean,Apparel,Jeans,Regular Fit,Adult M,MAT001|MAT006,"Cotton 98%; elastane 2%",380,700,"denim shell 88%; pocketing 4%; trims 3%; thread/labels 1%; packaging 4%",ROUTE-APP-WVN-DENIM-001,Denim route,Indigo yarn dye,Optional wash effect,"zip fly; button; rivets; leather/synthetic patch; labels","polybag optional; carton","Weaving 0.96; Denim wash 0.98; Cutting 0.85; Sewing 0.98","Cotton India > spinning India/Bangladesh > denim mill Bangladesh/Turkey > laundry Bangladesh/Turkey > garment Bangladesh/Turkey",0.66,"V1 inferred denim template","Wet laundry and trims should be validated before production-grade LCA."
TPL-APP-WVN-CHN-001,TAX-APP-WVN-CHN-001,Cotton Chino Pant,Apparel,Chino,Twill Pant,Adult M,MAT001|MAT006,"Cotton 97%; elastane 3%",260,560,"twill shell 88%; pocketing 5%; trims 2%; thread/labels 1%; packaging 4%",ROUTE-APP-WVN-CELL-001,Woven cellulosic route,Reactive piece dye,None,"zipper; button; pocketing; labels","polybag; carton","Weaving 0.96; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Cotton India > fabric Bangladesh > garment Bangladesh",0.64,"V1 inferred woven bottoms template","Default assumes garment washed only when description says washed/softened."
TPL-APP-WVN-DRS-001,TAX-APP-WVN-DRS-001,Simple Woven Dress,Apparel,Dress,Unlined Short Dress,Adult M,MAT007|MAT009,"Viscose 100%",140,380,"shell fabric 90%; zipper/button 2%; thread/labels 1%; packaging 7%",ROUTE-APP-WVN-CELL-001,Woven regenerated cellulosic route,Reactive piece dye,Optional print,"zipper or buttons; labels","hanging polybag; carton","Weaving 0.96; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber Indonesia/Austria > fabric China/Vietnam > garment Vietnam",0.62,"Material library regenerated fibers plus woven route inference","Lining should be added if detected in BOM."
TPL-APP-OUT-JKT-001,TAX-APP-OUT-JKT-001,Lightweight Shell Jacket,Apparel,Jacket,Uninsulated Shell,Adult M,MAT005,"Recycled polyester 100%",120,520,"shell fabric 70%; lining 15%; zipper/trims 5%; thread/labels 1%; packaging 9%",ROUTE-APP-WVN-SYNTH-001,Synthetic woven outerwear route,Disperse piece dye,DWR coating optional,"front zipper; pocket zippers; elastic/cord; labels","polybag; carton","Weaving 0.96; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber Global > weaving China/Vietnam > dyeing/coating China/Vietnam > garment Vietnam",0.58,"V1 inferred outerwear template","Coating and lamination materially affect impact; flag as low confidence when present."
TPL-APP-ACC-SCK-001,TAX-APP-ACC-SCK-001,Crew Sock,Apparel,Socks,Rib Crew,Pair,MAT001|MAT004|MAT006,"Cotton 70%; polyester 25%; elastane 5%",160,65,"knit sock body 94%; elastic yarn 3%; thread/labels 1%; packaging 2%",ROUTE-APP-KNT-HOSIERY-001,Hosiery route,Yarn dyed or piece dyed,None,"paper band; polybag optional","paper band; carton","Knitting 0.97; Dyeing 0.99; Packaging 1.00","Fiber India/China > hosiery knitting China/Bangladesh > finishing China/Bangladesh",0.6,"V1 inferred hosiery template","Needs hosiery machine and boarding process library entries."
TPL-APP-UND-BRA-001,TAX-APP-UND-BRA-001,Sports Bra,Apparel,Sports Bra,Medium Support,Adult M,MAT005|MAT006,"Recycled polyester 75%; elastane 25%",240,160,"stretch fabric 82%; elastic 8%; foam pad 5%; thread/labels 1%; packaging 4%",ROUTE-APP-KNT-SYNTH-001,Synthetic stretch knit route,Disperse piece dye,None,"bottom elastic; optional removable pads; labels","polybag; carton","Knitting 0.97; Dyeing 0.99; Cutting 0.85; Sewing 0.98","Fiber Global > knitting Vietnam > dyeing Vietnam > garment Vietnam",0.58,"V1 inferred intimate apparel template","Foam pad and elastic impacts are placeholders."
TPL-FW-SNK-CAS-001,TAX-FW-SNK-CAS-001,Casual Low-Top Sneaker,Footwear,Sneaker,Low Top,Pair,MAT005|MAT001,"Textile upper 45%; rubber outsole 30%; EVA midsole 15%; adhesives/trims 10%",0,800,"upper textile 30%; lining 10%; midsole 15%; outsole 30%; insole 5%; laces/eyelets/adhesive/packaging 10%",ROUTE-FW-SNK-CEMENT-001,Cemented footwear route,Piece dyed textile upper,None,"laces; eyelets; insole; adhesive; shoe box","shoe box; tissue; master carton","Cutting 0.85; Stitching 0.95; Cementing 0.98; Packaging 1.00","Materials China/Vietnam > upper stitching Vietnam > sole molding Vietnam > assembly Vietnam",0.55,"V1 footwear inference template","Footwear KG expansion required for production use."
