route_id,route_version,taxonomy_ids,route_name,step_order,process_id,process_name,process_group,input,output,required_for,default_machine_ids,default_machine_names,consumables,energy_model_machine_ids,water_model_process,chemical_model_process,yield_model_process,default_country,transport_leg_after,inference_triggers,optionality,confidence_prior,kg_source_status,notes
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,1,PROC001,Cotton Farming,Fiber Production,Cotton seed,Seed cotton,Cellulosic cotton products,MCH001|MCH002,Tractor|Irrigation Pump,Diesel|Water|Fertilizer,,Cotton Farming,,,"India",Truck to gin,"cotton|organic cotton|BCI cotton|seed cotton",Required,0.92,KG-backed,"Water model uses L/kg cotton from KG V2."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,2,PROC002,Ginning,Fiber Preparation,Seed cotton,Cotton fiber,Cotton products,MCH003|MCH004,Cotton Gin|Bale Press,Electricity,,,,,"India",Truck to spinning mill,"ginning|cotton fiber|bales",Required,0.92,KG-backed,"Machine list from KG V1."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,3,PROC003,Ring Spinning,Yarn Production,Cotton fiber,Cotton yarn,Knit cotton products,MCH005|MCH006|MCH007|MCH008|MCH009,Blow Room Machine|Carding Machine|Draw Frame|Ring Frame|Cone Winder,Electricity|Compressed Air,MCH008,,,,"Bangladesh",Truck to knitting mill,"ring spun|cotton yarn|combed|carded",Required,0.9,KG-backed,"Energy model available for MCH008 Ring Frame."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,4,PROC004,Knitting,Fabric Production,Yarn,Greige knitted fabric,Knit apparel,MCH010,Circular Knitting Machine,Electricity,MCH010,,,Knitting,Bangladesh,Truck to dyehouse,"single jersey|pique|fleece|rib|knit",Required,0.9,KG-backed,"Yield model Knitting 0.97."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,5,PROC005,Pretreatment,Wet Processing,Greige knitted fabric,Prepared fabric,Dyed cotton knits,,Pretreatment range,Electricity|Water|Caustic Soda|Wetting Agent,,Pretreatment,Pretreatment,Dyeing,Bangladesh,None,"scouring|bleaching|prepared for dyeing|reactive dye",Required,0.88,KG-backed,"Chemical and water models available in KG V2."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,6,PROC006,Reactive Dyeing,Wet Processing,Prepared fabric,Dyed fabric,Cotton/color products,MCH011|MCH012,Jet Dyeing Machine|Winch Dyeing Machine,Electricity|Water|Reactive Dye|Salt|Soda Ash,MCH011,Reactive Dyeing,Reactive Dyeing,Dyeing,Bangladesh,Truck to finishing,"reactive dye|piece dyed|solid color|garment color",Required,0.88,KG-backed,"Reactive dyeing energy/water/chemical models from KG V2."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,7,PROC007,Finishing,Wet Processing,Dyed fabric,Finished fabric,All apparel fabric,MCH013|MCH014,Stenter Machine|Compactor Machine,Electricity|Water|Softener,MCH013,Finishing,Finishing,,Bangladesh,Truck to garment factory,"finishing|compacting|softener|stenter",Required,0.86,KG-backed,"Compactor lacks explicit energy model; stenter model used as default."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,8,PROC008,Cutting,Garment Manufacturing,Finished fabric,Cut panels,All cut-and-sew apparel,MCH015|MCH016,Fabric Spreading Machine|CNC Fabric Cutter,Electricity,MCH016,,,Cutting,Bangladesh,None,"cut panels|marker|spreading|CNC cutting",Required,0.9,KG-backed,"Yield model Cutting 0.85."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,9,PROC009,Sewing,Garment Manufacturing,Cut panels,Garment,All apparel,MCH017|MCH018|MCH019,Lockstitch Machine|Overlock Machine|Button Machine,Electricity,MCH017,,,Sewing,Bangladesh,Truck to packing,"sewing|overlock|lockstitch|button attach|assembly",Required,0.9,KG-backed,"Button machine only used when placket/buttons detected."
ROUTE-APP-KNT-COTTON-001,V2,TAX-APP-KNT-TSH-001|TAX-APP-KNT-POL-001|TAX-APP-KNT-SWT-001|TAX-APP-KNT-HOD-001,Cotton knit apparel full route,10,PROC010,Packaging,Garment Manufacturing,Garment,Packed garment,All finished goods,MCH020,Packing Conveyor,Carton,,,,,Bangladesh,Export transport,"packing|polybag|carton|final inspection",Required,0.9,KG-backed,"Transport model selected separately by destination and mode."
