route_id,sequence_no,process_id,yield_model,confidence,version,effective_date,expiry_date,source,approval_status
ROUTE-APP-KNT-COTTON-001,1,PROC001,,0.92,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,2,PROC002,,0.92,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,3,PROC003,,0.9,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,4,PROC004,YLD001,0.9,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,5,PROC005,YLD002,0.88,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,6,PROC006,YLD002,0.88,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,7,PROC007,,0.86,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,8,PROC008,YLD003,0.9,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,9,PROC009,YLD004,0.9,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-COTTON-001,10,PROC010,,0.9,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-SYNTH-001,1,PROC-EXT-101,,0.62,2.0,2026-06-12,,Route_Library_V2,Pending Validation
ROUTE-APP-KNT-SYNTH-001,2,PROC-EXT-102,,0.58,2.0,2026-06-12,,Route_Library_V2,Pending Validation
ROUTE-APP-KNT-SYNTH-001,3,PROC004,YLD001,0.82,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-SYNTH-001,4,PROC-EXT-103,,0.6,2.0,2026-06-12,,Route_Library_V2,Pending Validation
ROUTE-APP-KNT-SYNTH-001,5,PROC-EXT-104,YLD002,0.56,2.0,2026-06-12,,Route_Library_V2,Pending Validation
ROUTE-APP-KNT-SYNTH-001,6,PROC007,,0.74,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-SYNTH-001,7,PROC008,YLD003,0.86,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-SYNTH-001,8,PROC009,YLD004,0.86,2.0,2026-06-12,,Route_Library_V2,Approved
ROUTE-APP-KNT-SYNTH-001,9,PROC010,,0.86,2.0,2026-06-12,,Route_Library_V2,Approved
